,Customer ID,Loan Sanction Amount (USD)
0,C-26247,93801.914
1,C-35067,61371.473
2,C-34590,5456.4946
3,C-16668,33856.15
4,C-12196,62747.402
5,C-2600,-1820.018
6,C-9047,86627.02
7,C-2206,62888.355
8,C-25607,1803.4315
9,C-11606,18561.422
10,C-3624,72998.89
11,C-43027,4907.217
12,C-15190,89954.72
13,C-25816,15598.124
14,C-26370,41648.41
15,C-1281,195409.12
16,C-29433,6477.9834
17,C-36256,52306.81
18,C-34217,42382.598
19,C-39950,57888.055
20,C-6756,23708.396
21,C-26652,56660.387
22,C-3991,71249.98
23,C-40312,37851.125
24,C-24580,166172.95
25,C-4949,13529.925
26,C-18783,80389.45
27,C-39205,68502.11
28,C-23784,945.5764
29,C-39508,102490.26
30,C-19062,113412.74
31,C-48140,44890.727
32,C-11314,68999.28
33,C-766,65718.51
34,C-39319,10362.351
35,C-15299,55085.74
36,C-10298,34501.934
37,C-25573,48355.723
38,C-18750,22514.467
39,C-19298,35290.688
40,C-11497,58866.72
41,C-42250,22252.025
42,C-17501,50139.664
43,C-24290,52517.516
44,C-8590,110277.04
45,C-8038,70400.95
46,C-25261,2627.9348
47,C-32634,11654.871
48,C-15073,47576.117
49,C-44174,19653.85
50,C-31916,70743.47
51,C-30620,21347.44
52,C-12561,46034.02
53,C-40301,102230.95
54,C-14716,19563.754
55,C-27558,24351.098
56,C-32563,41305.53
57,C-31387,19973.393
58,C-45649,3633.944
59,C-22572,29453.273
60,C-48427,64403.53
61,C-24904,75909.06
62,C-27683,17128.285
63,C-43495,49282.004
64,C-25735,25757.56
65,C-21375,72198.41
66,C-41309,73966.51
67,C-7767,25955.787
68,C-11841,866.874
69,C-5763,85549.97
70,C-8389,39924.023
71,C-16692,40188.76
72,C-33430,107297.95
73,C-2953,222927.61
74,C-11912,24296.41
75,C-6072,66801.97
76,C-6321,38422.395
77,C-26772,58135.688
78,C-24747,50163.957
79,C-20883,172018.64
80,C-11751,53570.688
81,C-24776,78014.66
82,C-20642,23110.219
83,C-9613,4724.4565
84,C-45334,740.7898
85,C-37941,60176.72
86,C-2908,38669.85
87,C-13784,18424.277
88,C-26710,55555.465
89,C-1892,57462.05
90,C-49928,112199.03
91,C-23082,74534.47
92,C-27939,30440.426
93,C-41801,-4185.698
94,C-19700,10527.484
95,C-43113,37605.883
96,C-27336,79289.734
97,C-36772,38851.457
98,C-3197,10848.941
99,C-14674,85919.12
100,C-5092,19762.984
101,C-41664,7222.7754
102,C-85,31730.248
103,C-48382,46740.07
104,C-35744,76322.48
105,C-32776,1573.1995
106,C-49131,5761.0845
107,C-29703,2630.5789
108,C-14880,38220.703
109,C-36170,-1069.3136
110,C-41645,2758.8865
111,C-4784,39304.746
112,C-38418,69554.95
113,C-13222,69422.17
114,C-32852,23669.732
115,C-21795,27934.766
116,C-121,37647.945
117,C-39952,33758.57
118,C-45166,-641.0407
119,C-32641,57535.332
120,C-27678,17274.04
121,C-10704,-853.2826
122,C-33461,23255.426
123,C-22001,90394.734
124,C-30170,58533.582
125,C-23960,56387.773
126,C-16139,20506.873
127,C-27022,12640.122
128,C-19074,23833.178
129,C-49284,1410.7758
130,C-8598,48511.992
131,C-14962,28578.795
132,C-35254,2421.9043
133,C-30635,2758.1948
134,C-6981,16683.28
135,C-5924,36322.605
136,C-9590,37058.47
137,C-23842,60169.37
138,C-45972,19260.47
139,C-39623,72513.02
140,C-49153,1826.1766
141,C-34958,72477.016
142,C-36476,56614.707
143,C-28630,1177.2853
144,C-12012,66265.77
145,C-37986,71780.05
146,C-11513,63045.92
147,C-48999,68534.12
148,C-7194,59679.61
149,C-14162,61097.254
150,C-6137,14060.332
151,C-7348,1044.3092
152,C-25756,1430.7517
153,C-40915,90527.45
154,C-28646,23784.746
155,C-31130,45890.13
156,C-8532,14489.115
157,C-24097,32230.531
158,C-1855,23877.713
159,C-35375,38075.633
160,C-3997,148790.03
161,C-42188,46659.363
162,C-33694,10304.089
163,C-1613,29733.158
164,C-9405,73053.79
165,C-5964,29241.727
166,C-20231,29510.768
167,C-23969,13852.754
168,C-36011,10247.833
169,C-23079,126917.2
170,C-44925,3848.3054
171,C-9000,91414.0
172,C-49513,3088.9692
173,C-49824,-1390.8658
174,C-17542,99139.03
175,C-39446,42912.05
176,C-24862,26569.318
177,C-30025,37710.395
178,C-20039,24660.816
179,C-34113,87368.71
180,C-19871,54045.9
181,C-7017,23624.752
182,C-16017,95982.23
183,C-1475,67859.695
184,C-35040,58610.656
185,C-37318,17772.809
186,C-4757,73044.94
187,C-26696,45120.906
188,C-2450,122090.79
189,C-38702,44655.457
190,C-31969,42262.93
191,C-34069,10003.61
192,C-23160,28814.812
193,C-30804,-2070.6223
194,C-49195,57878.04
195,C-13029,50840.035
196,C-39590,726.51337
197,C-45950,2881.904
198,C-1907,145922.0
199,C-9729,30494.014
200,C-24353,43899.586
201,C-3768,110077.06
202,C-48652,183891.19
203,C-14858,11933.207
204,C-32326,24282.6
205,C-35385,-2168.1746
206,C-45900,69030.67
207,C-5823,38148.562
208,C-29879,45120.906
209,C-2015,43100.797
210,C-19823,54792.684
211,C-19528,58726.43
212,C-40682,88838.78
213,C-49354,184.04712
214,C-25744,107298.64
215,C-14328,56361.89
216,C-2727,23680.424
217,C-45497,19671.129
218,C-17894,175551.88
219,C-10903,24354.342
220,C-39413,32339.865
221,C-4926,32114.88
222,C-29376,1569.0045
223,C-7440,43078.055
224,C-38279,40153.773
225,C-43246,55482.535
226,C-33701,-6407.549
227,C-1603,111899.945
228,C-21756,1104.3512
229,C-20553,1122.0668
230,C-40318,1091.3281
231,C-23274,33452.992
232,C-3521,2771.1013
233,C-19742,45714.145
234,C-42176,3864.611
235,C-33938,102714.984
236,C-20363,100807.48
237,C-1614,101309.85
238,C-22568,4225.4854
239,C-24796,23967.863
240,C-25092,50049.48
241,C-40256,20323.742
242,C-27504,49918.715
243,C-25753,76396.234
244,C-27194,44677.434
245,C-17798,821.9108
246,C-11864,31176.764
247,C-722,6459.3936
248,C-8111,131729.47
249,C-25051,1936.0729
250,C-42216,41977.504
251,C-20767,1785.4036
252,C-22334,54571.58
253,C-23551,42696.133
254,C-48437,-147.38829
255,C-21452,53796.715
256,C-16307,48545.473
257,C-29324,35129.062
258,C-4513,1640.6188
259,C-32774,23266.518
260,C-15695,24436.215
261,C-48811,104198.92
262,C-24101,66249.76
263,C-17567,33443.508
264,C-3203,38972.977
265,C-27870,60237.242
266,C-34250,4084.4697
267,C-6052,41999.574
268,C-33730,73914.89
269,C-33735,55393.05
270,C-41784,14.5234375
271,C-36379,58493.39
272,C-37051,48622.645
273,C-45284,14711.24
274,C-22611,23786.936
275,C-15220,18060.605
276,C-46916,24179.201
277,C-16477,-2603.7004
278,C-32921,57437.574
279,C-10743,68849.086
280,C-25717,12222.193
281,C-38804,65325.195
282,C-47665,17958.383
283,C-47745,37207.17
284,C-8340,107024.55
285,C-35857,11008.765
286,C-13835,71683.555
287,C-8181,112982.016
288,C-7606,16016.711
289,C-28889,81379.36
290,C-19884,24020.49
291,C-26792,-1704.2512
292,C-29963,58613.996
293,C-23208,20419.365
294,C-26232,115321.055
295,C-38972,-1790.9114
296,C-28626,93816.375
297,C-3278,22986.336
298,C-9079,25903.229
299,C-18569,34246.113
300,C-43756,4341.1787
301,C-17687,51443.516
302,C-5824,87330.91
303,C-6145,23566.576
304,C-5160,25241.639
305,C-13520,41732.348
306,C-2648,24373.805
307,C-9345,167477.58
308,C-46369,173211.72
309,C-34024,23282.225
310,C-37594,27034.564
311,C-16600,54216.867
312,C-12689,91693.586
313,C-31285,1019.761
314,C-20977,54081.81
315,C-8645,67044.96
316,C-28949,64116.227
317,C-42339,-2137.9524
318,C-18516,89829.04
319,C-26843,18811.537
320,C-37352,42108.03
321,C-9621,30372.16
322,C-40583,36545.75
323,C-44959,46068.76
324,C-10087,71155.08
325,C-31261,122879.35
326,C-2632,31663.348
327,C-35797,79072.33
328,C-9943,32048.781
329,C-48614,894.845
330,C-38577,29686.139
331,C-9012,16414.828
332,C-22068,31535.266
333,C-34390,11127.858
334,C-17445,21708.295
335,C-42960,23859.334
336,C-29172,23981.217
337,C-8067,18179.572
338,C-19101,1877.5853
339,C-16365,2414.498
340,C-46578,99795.555
341,C-7726,45090.74
342,C-11802,61467.84
343,C-26157,1614.5316
344,C-12804,12022.447
345,C-13829,27526.326
346,C-16434,47533.406
347,C-27426,93762.05
348,C-40208,116645.086
349,C-35800,26782.498
350,C-14093,5080.442
351,C-11648,117146.836
352,C-44330,30422.303
353,C-3517,57890.445
354,C-21658,60479.996
355,C-6711,28262.932
356,C-16178,27881.543
357,C-19315,43259.984
358,C-12505,-2074.5068
359,C-39404,80506.805
360,C-23783,931.7017
361,C-40002,48119.453
362,C-30526,23726.64
363,C-8034,46053.21
364,C-33801,112714.5
365,C-44646,2131.0137
366,C-32172,22072.262
367,C-15887,9011.439
368,C-391,1687.7554
369,C-35271,156622.92
370,C-45419,11079.633
371,C-26170,-538.27734
372,C-41141,61196.24
373,C-19608,23993.205
374,C-12816,37267.902
375,C-2852,-873.3492
376,C-23982,42260.43
377,C-27035,45901.258
378,C-19243,31671.236
379,C-33098,24947.723
380,C-18918,63977.15
381,C-38094,10215.013
382,C-39100,57489.86
383,C-10477,14779.227
